  In (11,8), the ground is expected to be white, but it is red.
  In (11,9), the ground is expected to be yellow, but it is white.
  In (11,15), the ground is expected to be blue, but it is white.
  In (11,17), the ground is expected to be green, but it is white.
  In (11,19), the ground is expected to be yellow, but it is white.
  In (11,20), the ground is expected to be blue, but it is white.
  In (11,21), the ground is expected to be white, but it is red.
  In (11,22), the ground is expected to be green, but it is white.
  In (11,23), the ground is expected to be white, but it is red.
  In (11,24), the ground is expected to be yellow, but it is white.
  In (11,25), the ground is expected to be blue, but it is white.
  In (11,26), the ground is expected to be white, but it is blue.
  In (11,27), the ground is expected to be green, but it is white.
  In (11,28), the ground is expected to be white, but it is yellow.
  In (11,29), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be green, but it is red.
  In (11,35), the ground is expected to be blue, but it is white.
  In (11,36), the ground is expected to be white, but it is green.
  In (11,37), the ground is expected to be green, but it is white.
  In (11,38), the ground is expected to be white, but it is green.
  In (11,39), the ground is expected to be yellow, but it is white.
  In (12,1), the ground is expected to be blue, but it is red.
  In (12,3), the ground is expected to be yellow, but it is red.
  In (12,6), the ground is expected to be blue, but it is white.
  In (12,8), the ground is expected to be yellow, but it is white.
  In (12,16), the ground is expected to be blue, but it is green.
  In (12,18), the ground is expected to be yellow, but it is green.
  In (12,20), the ground is expected to be white, but it is blue.
  In (12,21), the ground is expected to be blue, but it is white.
  In (12,22), the ground is expected to be white, but it is green.
  In (12,23), the ground is expected to be yellow, but it is white.
  In (12,24), the ground is expected to be white, but it is yellow.
  In (12,25), the ground is expected to be white, but it is blue.
  In (12,26), the ground is expected to be blue, but it is white.
  In (12,27), the ground is expected to be white, but it is red.
  In (12,28), the ground is expected to be yellow, but it is white.
  In (12,29), the ground is expected to be white, but it is yellow.
  In (12,31), the ground is expected to be blue, but it is red.
  In (12,33), the ground is expected to be yellow, but it is red.
  In (12,35), the ground is expected to be white, but it is blue.
  In (12,36), the ground is expected to be blue, but it is white.
  In (12,37), the ground is expected to be white, but it is green.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,39), the ground is expected to be white, but it is yellow.
  In (13,1), the ground is expected to be white, but it is green.
  In (13,2), the ground is expected to be red, but it is green.
  In (13,3), the ground is expected to be white, but it is green.
  In (13,5), the ground is expected to be blue, but it is white.
  In (13,7), the ground is expected to be red, but it is white.
