  In (11,54), the ground is expected to be white, but it is light grey.
  In (11,55), the ground is expected to be light grey, but it is white.
  In (11,59), the ground is expected to be white, but it is light grey.
  In (11,61), the ground is expected to be white, but it is light grey.
  In (11,62), the ground is expected to be light grey, but it is white.
  In (12,3), the ground is expected to be light grey, but it is white.
  In (12,6), the ground is expected to be white, but it is light grey.
  In (12,8), the ground is expected to be white, but it is light grey.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (12,17), the ground is expected to be light grey, but it is white.
  In (12,24), the ground is expected to be light grey, but it is white.
  In (12,31), the ground is expected to be light grey, but it is white.
  In (12,34), the ground is expected to be white, but it is light grey.
  In (12,36), the ground is expected to be white, but it is light grey.
  In (12,38), the ground is expected to be light grey, but it is white.
  In (12,43), the ground is expected to be white, but it is light grey.
  In (12,47), the ground is expected to be white, but it is light grey.
  In (12,52), the ground is expected to be light grey, but it is white.
  In (12,53), the ground is expected to be white, but it is light grey.
  In (12,54), the ground is expected to be white, but it is light grey.
  In (12,55), the ground is expected to be white, but it is light grey.
  In (12,56), the ground is expected to be white, but it is light grey.
  In (12,57), the ground is expected to be white, but it is light grey.
  In (12,59), the ground is expected to be light grey, but it is white.
  In (13,2), the ground is expected to be light grey, but it is white.
  In (13,4), the ground is expected to be light grey, but it is white.
  In (13,5), the ground is expected to be white, but it is light grey.
  In (13,7), the ground is expected to be white, but it is light grey.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (13,23), the ground is expected to be light grey, but it is white.
  In (13,25), the ground is expected to be light grey, but it is white.
  In (13,30), the ground is expected to be light grey, but it is white.
  In (13,32), the ground is expected to be light grey, but it is white.
  In (13,34), the ground is expected to be white, but it is light grey.
  In (13,36), the ground is expected to be white, but it is light grey.
  In (13,37), the ground is expected to be light grey, but it is white.
  In (13,39), the ground is expected to be light grey, but it is white.
  In (13,51), the ground is expected to be light grey, but it is white.
  In (13,54), the ground is expected to be white, but it is light grey.
  In (13,55), the ground is expected to be white, but it is light grey.
  In (13,56), the ground is expected to be white, but it is light grey.
  In (13,57), the ground is expected to be white, but it is light grey.
  In (13,58), the ground is expected to be light grey, but it is white.
  In (13,60), the ground is expected to be light grey, but it is white.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,6), the ground is expected to be white, but it is light grey.
  In (14,8), the ground is expected to be white, but it is light grey.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,18), the ground is expected to be light grey, but it is white.
  In (14,23), the ground is expected to be light grey, but it is white.
