  In (10,60), the ground is expected to be white, but it is light grey.
  In (10,62), the ground is expected to be white, but it is light grey.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,1), the ground is expected to be white, but it is light grey.
  In (11,2), the ground is expected to be white, but it is light grey.
  In (11,4), the ground is expected to be white, but it is light grey.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,7), the ground is expected to be light grey, but it is white.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,14), the ground is expected to be light grey, but it is white.
  In (11,19), the ground is expected to be white, but it is light grey.
  In (11,20), the ground is expected to be light grey, but it is white.
  In (11,22), the ground is expected to be white, but it is light grey.
  In (11,24), the ground is expected to be white, but it is light grey.
  In (11,25), the ground is expected to be white, but it is light grey.
  In (11,28), the ground is expected to be light grey, but it is white.
  In (11,34), the ground is expected to be light grey, but it is white.
  In (11,35), the ground is expected to be light grey, but it is white.
  In (11,39), the ground is expected to be white, but it is light grey.
  In (11,44), the ground is expected to be white, but it is light grey.
  In (11,45), the ground is expected to be white, but it is light grey.
  In (11,47), the ground is expected to be white, but it is light grey.
  In (11,48), the ground is expected to be light grey, but it is white.
  In (11,49), the ground is expected to be light grey, but it is white.
  In (11,55), the ground is expected to be light grey, but it is white.
  In (11,56), the ground is expected to be light grey, but it is white.
  In (11,59), the ground is expected to be white, but it is light grey.
  In (11,61), the ground is expected to be white, but it is light grey.
  In (12,0), the ground is expected to be white, but it is light grey.
  In (12,1), the ground is expected to be white, but it is light grey.
  In (12,2), the ground is expected to be white, but it is light grey.
  In (12,5), the ground is expected to be white, but it is light grey.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (12,17), the ground is expected to be light grey, but it is white.
  In (12,18), the ground is expected to be white, but it is light grey.
  In (12,20), the ground is expected to be white, but it is light grey.
  In (12,21), the ground is expected to be white, but it is light grey.
  In (12,22), the ground is expected to be white, but it is light grey.
  In (12,23), the ground is expected to be white, but it is light grey.
  In (12,25), the ground is expected to be white, but it is light grey.
  In (12,26), the ground is expected to be white, but it is light grey.
  In (12,28), the ground is expected to be white, but it is light grey.
  In (12,31), the ground is expected to be light grey, but it is white.
  In (12,40), the ground is expected to be white, but it is light grey.
  In (12,41), the ground is expected to be white, but it is light grey.
  In (12,42), the ground is expected to be white, but it is light grey.
  In (12,43), the ground is expected to be white, but it is light grey.
  In (12,44), the ground is expected to be white, but it is light grey.
  In (12,46), the ground is expected to be white, but it is light grey.
  In (12,48), the ground is expected to be white, but it is light grey.
  In (12,52), the ground is expected to be light grey, but it is white.
  In (12,58), the ground is expected to be white, but it is light grey.
  In (12,59), the ground is expected to be light grey, but it is white.
  In (12,60), the ground is expected to be white, but it is light grey.
  In (12,61), the ground is expected to be white, but it is light grey.
  In (12,62), the ground is expected to be white, but it is light grey.
  In (13,1), the ground is expected to be white, but it is light grey.
  In (13,9), the ground is expected to be light grey, but it is white.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (13,19), the ground is expected to be white, but it is light grey.
  In (13,21), the ground is expected to be white, but it is light grey.
  In (13,22), the ground is expected to be white, but it is light grey.
  In (13,23), the ground is expected to be light grey, but it is white.
  In (13,24), the ground is expected to be white, but it is light grey.
  In (13,27), the ground is expected to be white, but it is light grey.
  In (13,30), the ground is expected to be light grey, but it is white.
  In (13,32), the ground is expected to be light grey, but it is white.
  In (13,37), the ground is expected to be light grey, but it is white.
  In (13,41), the ground is expected to be white, but it is light grey.
  In (13,42), the ground is expected to be white, but it is light grey.
  In (13,45), the ground is expected to be white, but it is light grey.
  In (13,46), the ground is expected to be light grey, but it is white.
  In (13,47), the ground is expected to be white, but it is light grey.
  In (13,51), the ground is expected to be light grey, but it is white.
  In (13,53), the ground is expected to be light grey, but it is white.
  In (13,58), the ground is expected to be light grey, but it is white.
  In (13,59), the ground is expected to be white, but it is light grey.
  In (13,60), the ground is expected to be light grey, but it is white.
  In (13,61), the ground is expected to be white, but it is light grey.
  In (13,62), the ground is expected to be white, but it is light grey.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,18), the ground is expected to be light grey, but it is white.
  In (14,23), the ground is expected to be light grey, but it is white.
  In (14,25), the ground is expected to be light grey, but it is white.
  In (14,30), the ground is expected to be light grey, but it is white.
  In (14,32), the ground is expected to be light grey, but it is white.
  In (14,37), the ground is expected to be light grey, but it is white.
  In (14,39), the ground is expected to be light grey, but it is white.
  In (14,44), the ground is expected to be light grey, but it is white.
  In (14,46), the ground is expected to be light grey, but it is white.
  In (14,51), the ground is expected to be light grey, but it is white.
  In (14,53), the ground is expected to be light grey, but it is white.
  In (14,58), the ground is expected to be light grey, but it is white.
  In (14,60), the ground is expected to be light grey, but it is white.
  In (15,3), the ground is expected to be light grey, but it is white.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (15,24), the ground is expected to be light grey, but it is white.
  In (15,31), the ground is expected to be light grey, but it is white.
  In (15,38), the ground is expected to be light grey, but it is white.
  In (15,45), the ground is expected to be light grey, but it is white.
  In (15,52), the ground is expected to be light grey, but it is white.
  In (15,59), the ground is expected to be light grey, but it is white.
  In (16,0), the ground is expected to be light grey, but it is white.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,20), the ground is expected to be light grey, but it is white.
  In (16,21), the ground is expected to be light grey, but it is white.
  In (16,27), the ground is expected to be light grey, but it is white.
  In (16,28), the ground is expected to be light grey, but it is white.
  In (16,34), the ground is expected to be light grey, but it is white.
  In (16,35), the ground is expected to be light grey, but it is white.
  In (16,41), the ground is expected to be light grey, but it is white.
  In (16,42), the ground is expected to be light grey, but it is white.
  In (16,48), the ground is expected to be light grey, but it is white.
  In (16,49), the ground is expected to be light grey, but it is white.
  In (16,55), the ground is expected to be light grey, but it is white.
  In (16,56), the ground is expected to be light grey, but it is white.
  In (16,62), the ground is expected to be light grey, but it is white.
  In (17,1), the ground is expected to be light grey, but it is white.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (17,15), the ground is expected to be light grey, but it is white.
  In (17,19), the ground is expected to be light grey, but it is white.
  In (17,22), the ground is expected to be light grey, but it is white.
  In (17,26), the ground is expected to be light grey, but it is white.
  In (17,29), the ground is expected to be light grey, but it is white.
  In (17,33), the ground is expected to be light grey, but it is white.
  In (17,36), the ground is expected to be light grey, but it is white.
  In (17,40), the ground is expected to be light grey, but it is white.
  In (17,43), the ground is expected to be light grey, but it is white.
  In (17,47), the ground is expected to be light grey, but it is white.
  In (17,50), the ground is expected to be light grey, but it is white.
  In (17,54), the ground is expected to be light grey, but it is white.
  In (17,57), the ground is expected to be light grey, but it is white.
  In (17,61), the ground is expected to be light grey, but it is white.
  In (18,0), the ground is expected to be light grey, but it is white.
  In (18,1), the ground is expected to be white, but it is light grey.
  In (18,2), the ground is expected to be white, but it is light grey.
  In (18,4), the ground is expected to be white, but it is light grey.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,19), the ground is expected to be white, but it is light grey.
  In (18,20), the ground is expected to be light grey, but it is white.
  In (18,22), the ground is expected to be white, but it is light grey.
  In (18,24), the ground is expected to be white, but it is light grey.
  In (18,25), the ground is expected to be white, but it is light grey.
  In (18,28), the ground is expected to be light grey, but it is white.
  In (18,34), the ground is expected to be light grey, but it is white.
  In (18,35), the ground is expected to be light grey, but it is white.
  In (18,39), the ground is expected to be white, but it is light grey.
  In (18,44), the ground is expected to be white, but it is light grey.
  In (18,45), the ground is expected to be white, but it is light grey.
  In (18,47), the ground is expected to be white, but it is light grey.
  In (18,48), the ground is expected to be light grey, but it is white.
  In (18,49), the ground is expected to be light grey, but it is white.
  In (18,55), the ground is expected to be light grey, but it is white.
  In (18,56), the ground is expected to be light grey, but it is white.
  In (18,59), the ground is expected to be white, but it is light grey.
  In (18,61), the ground is expected to be white, but it is light grey.
  In (19,0), the ground is expected to be white, but it is light grey.
  In (19,1), the ground is expected to be white, but it is light grey.
  In (19,2), the ground is expected to be white, but it is light grey.
  In (19,5), the ground is expected to be white, but it is light grey.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,18), the ground is expected to be white, but it is light grey.
  In (19,20), the ground is expected to be white, but it is light grey.
  In (19,21), the ground is expected to be white, but it is light grey.
  In (19,22), the ground is expected to be white, but it is light grey.
  In (19,23), the ground is expected to be white, but it is light grey.
  In (19,25), the ground is expected to be white, but it is light grey.
  In (19,26), the ground is expected to be white, but it is light grey.
  In (19,28), the ground is expected to be white, but it is light grey.
  In (19,31), the ground is expected to be light grey, but it is white.
  In (19,40), the ground is expected to be white, but it is light grey.
