The amount of steps is wrong: 8342 is not 0
  In (21,58), the ground is expected to be yellow, but it is white.
  In (21,59), the ground is expected to be yellow, but it is white.
  In (21,60), the ground is expected to be yellow, but it is white.
  In (21,67), the ground is expected to be white, but it is yellow.
  In (21,71), the ground is expected to be white, but it is red.
  In (21,83), the ground is expected to be white, but it is red.
  In (21,87), the ground is expected to be white, but it is yellow.
  In (22,13), the ground is expected to be yellow, but it is white.
  In (22,14), the ground is expected to be yellow, but it is white.
  In (22,16), the ground is expected to be yellow, but it is white.
  In (22,17), the ground is expected to be yellow, but it is white.
  In (22,18), the ground is expected to be yellow, but it is white.
  In (22,21), the ground is expected to be yellow, but it is white.
  In (22,22), the ground is expected to be yellow, but it is white.
  In (22,24), the ground is expected to be yellow, but it is white.
  In (22,25), the ground is expected to be yellow, but it is white.
  In (22,26), the ground is expected to be yellow, but it is white.
  In (22,27), the ground is expected to be yellow, but it is red.
  In (22,29), the ground is expected to be white, but it is yellow.
  In (22,33), the ground is expected to be yellow, but it is red.
  In (22,35), the ground is expected to be yellow, but it is white.
  In (22,36), the ground is expected to be yellow, but it is white.
  In (22,42), the ground is expected to be yellow, but it is white.
  In (22,43), the ground is expected to be yellow, but it is white.
  In (22,44), the ground is expected to be yellow, but it is white.
  In (22,47), the ground is expected to be yellow, but it is white.
  In (22,48), the ground is expected to be yellow, but it is white.
  In (22,50), the ground is expected to be yellow, but it is white.
  In (22,54), the ground is expected to be yellow, but it is white.
  In (22,55), the ground is expected to be yellow, but it is white.
  In (22,57), the ground is expected to be yellow, but it is white.
  In (22,58), the ground is expected to be yellow, but it is white.
  In (22,60), the ground is expected to be yellow, but it is white.
  In (22,61), the ground is expected to be yellow, but it is white.
  In (22,62), the ground is expected to be yellow, but it is white.
  In (22,66), the ground is expected to be white, but it is yellow.
  In (22,70), the ground is expected to be white, but it is red.
  In (22,82), the ground is expected to be white, but it is red.
  In (22,86), the ground is expected to be white, but it is yellow.
  In (23,12), the ground is expected to be yellow, but it is white.
  In (23,13), the ground is expected to be yellow, but it is white.
  In (23,15), the ground is expected to be yellow, but it is white.
  In (23,17), the ground is expected to be yellow, but it is white.
  In (23,18), the ground is expected to be yellow, but it is white.
  In (23,19), the ground is expected to be yellow, but it is white.
  In (23,20), the ground is expected to be yellow, but it is white.
  In (23,21), the ground is expected to be yellow, but it is white.
  In (23,22), the ground is expected to be yellow, but it is white.
  In (23,23), the ground is expected to be yellow, but it is white.
  In (23,24), the ground is expected to be white, but it is yellow.
  In (23,25), the ground is expected to be yellow, but it is white.
  In (23,27), the ground is expected to be yellow, but it is white.
  In (23,28), the ground is expected to be yellow, but it is red.
  In (23,30), the ground is expected to be white, but it is yellow.
  In (23,33), the ground is expected to be yellow, but it is white.
  In (23,34), the ground is expected to be yellow, but it is red.
  In (23,35), the ground is expected to be yellow, but it is white.
  In (23,40), the ground is expected to be yellow, but it is white.
  In (23,44), the ground is expected to be yellow, but it is white.
  In (23,45), the ground is expected to be yellow, but it is white.
  In (23,46), the ground is expected to be yellow, but it is white.
  In (23,47), the ground is expected to be yellow, but it is white.
  In (23,48), the ground is expected to be yellow, but it is white.
  In (23,50), the ground is expected to be yellow, but it is white.
  In (23,51), the ground is expected to be yellow, but it is white.
  In (23,52), the ground is expected to be yellow, but it is white.
