The amount of steps is wrong: 83420 is not 0
  In (4,72), the ground is expected to be white, but it is red.
  In (4,73), the ground is expected to be white, but it is red.
  In (4,74), the ground is expected to be white, but it is yellow.
  In (4,75), the ground is expected to be white, but it is red.
  In (4,77), the ground is expected to be white, but it is yellow.
  In (4,80), the ground is expected to be white, but it is yellow.
  In (4,81), the ground is expected to be white, but it is yellow.
  In (4,82), the ground is expected to be white, but it is yellow.
  In (4,85), the ground is expected to be white, but it is red.
  In (4,90), the ground is expected to be white, but it is red.
  In (4,92), the ground is expected to be white, but it is red.
  In (4,93), the ground is expected to be white, but it is red.
  In (4,95), the ground is expected to be white, but it is red.
  In (4,97), the ground is expected to be white, but it is red.
  In (4,98), the ground is expected to be white, but it is red.
  In (5,0), the ground is expected to be white, but it is red.
  In (5,4), the ground is expected to be white, but it is red.
  In (5,6), the ground is expected to be white, but it is yellow.
  In (5,8), the ground is expected to be white, but it is yellow.
  In (5,9), the ground is expected to be white, but it is yellow.
  In (5,10), the ground is expected to be white, but it is red.
  In (5,11), the ground is expected to be white, but it is red.
  In (5,12), the ground is expected to be white, but it is yellow.
  In (5,13), the ground is expected to be white, but it is yellow.
  In (5,14), the ground is expected to be white, but it is yellow.
  In (5,15), the ground is expected to be white, but it is yellow.
  In (5,16), the ground is expected to be white, but it is yellow.
  In (5,18), the ground is expected to be white, but it is yellow.
  In (5,19), the ground is expected to be white, but it is yellow.
  In (5,20), the ground is expected to be white, but it is red.
  In (5,22), the ground is expected to be white, but it is yellow.
  In (5,23), the ground is expected to be white, but it is red.
  In (5,25), the ground is expected to be white, but it is red.
  In (5,26), the ground is expected to be white, but it is red.
  In (5,27), the ground is expected to be white, but it is red.
  In (5,28), the ground is expected to be white, but it is red.
  In (5,29), the ground is expected to be white, but it is yellow.
  In (5,30), the ground is expected to be white, but it is yellow.
  In (5,33), the ground is expected to be white, but it is red.
  In (5,35), the ground is expected to be yellow, but it is white.
  In (5,36), the ground is expected to be yellow, but it is white.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,41), the ground is expected to be white, but it is red.
  In (5,45), the ground is expected to be white, but it is red.
  In (5,49), the ground is expected to be yellow, but it is red.
  In (5,50), the ground is expected to be yellow, but it is white.
  In (5,51), the ground is expected to be yellow, but it is red.
  In (5,56), the ground is expected to be white, but it is yellow.
  In (5,58), the ground is expected to be white, but it is yellow.
  In (5,60), the ground is expected to be white, but it is red.
  In (5,63), the ground is expected to be white, but it is red.
  In (5,64), the ground is expected to be white, but it is red.
  In (5,66), the ground is expected to be white, but it is red.
  In (5,70), the ground is expected to be white, but it is red.
  In (5,71), the ground is expected to be white, but it is red.
  In (5,72), the ground is expected to be white, but it is red.
  In (5,74), the ground is expected to be white, but it is yellow.
  In (5,76), the ground is expected to be white, but it is red.
  In (5,77), the ground is expected to be white, but it is yellow.
  In (5,80), the ground is expected to be white, but it is red.
  In (5,81), the ground is expected to be white, but it is red.
  In (5,83), the ground is expected to be white, but it is yellow.
  In (5,84), the ground is expected to be white, but it is yellow.
  In (5,85), the ground is expected to be white, but it is yellow.
  In (5,86), the ground is expected to be white, but it is yellow.
  In (5,87), the ground is expected to be white, but it is yellow.
  In (5,89), the ground is expected to be white, but it is red.
  In (5,91), the ground is expected to be white, but it is red.
  In (5,92), the ground is expected to be white, but it is red.
  In (5,94), the ground is expected to be white, but it is yellow.
  In (5,95), the ground is expected to be white, but it is yellow.
  In (5,99), the ground is expected to be white, but it is red.
  In (6,4), the ground is expected to be white, but it is red.
  In (6,6), the ground is expected to be white, but it is yellow.
  In (6,7), the ground is expected to be white, but it is yellow.
  In (6,8), the ground is expected to be white, but it is red.
  In (6,9), the ground is expected to be white, but it is yellow.
  In (6,11), the ground is expected to be white, but it is yellow.
  In (6,12), the ground is expected to be white, but it is red.
  In (6,15), the ground is expected to be white, but it is red.
  In (6,16), the ground is expected to be white, but it is red.
  In (6,18), the ground is expected to be white, but it is yellow.
  In (6,19), the ground is expected to be white, but it is red.
  In (6,20), the ground is expected to be white, but it is yellow.
  In (6,21), the ground is expected to be white, but it is yellow.
  In (6,23), the ground is expected to be white, but it is red.
  In (6,24), the ground is expected to be white, but it is red.
  In (6,26), the ground is expected to be white, but it is red.
  In (6,27), the ground is expected to be white, but it is red.
  In (6,28), the ground is expected to be white, but it is red.
  In (6,29), the ground is expected to be white, but it is yellow.
  In (6,30), the ground is expected to be white, but it is yellow.
  In (6,31), the ground is expected to be yellow, but it is white.
  In (6,33), the ground is expected to be yellow, but it is white.
  In (6,34), the ground is expected to be yellow, but it is red.
  In (6,36), the ground is expected to be yellow, but it is white.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,38), the ground is expected to be white, but it is yellow.
  In (6,42), the ground is expected to be white, but it is red.
  In (6,46), the ground is expected to be white, but it is red.
  In (6,48), the ground is expected to be yellow, but it is white.
  In (6,49), the ground is expected to be yellow, but it is white.
  In (6,50), the ground is expected to be white, but it is red.
  In (6,52), the ground is expected to be yellow, but it is white.
  In (6,54), the ground is expected to be white, but it is yellow.
  In (6,55), the ground is expected to be white, but it is red.
  In (6,56), the ground is expected to be white, but it is yellow.
  In (6,57), the ground is expected to be white, but it is yellow.
  In (6,59), the ground is expected to be white, but it is red.
  In (6,60), the ground is expected to be white, but it is red.
  In (6,61), the ground is expected to be white, but it is red.
  In (6,64), the ground is expected to be white, but it is red.
  In (6,65), the ground is expected to be white, but it is red.
  In (6,66), the ground is expected to be white, but it is red.
  In (6,67), the ground is expected to be white, but it is red.
  In (6,68), the ground is expected to be white, but it is red.
  In (6,69), the ground is expected to be white, but it is red.
  In (6,71), the ground is expected to be white, but it is yellow.
  In (6,72), the ground is expected to be white, but it is yellow.
  In (6,73), the ground is expected to be white, but it is yellow.
  In (6,75), the ground is expected to be white, but it is red.
  In (6,77), the ground is expected to be white, but it is yellow.
  In (6,79), the ground is expected to be white, but it is red.
  In (6,82), the ground is expected to be white, but it is red.
  In (6,83), the ground is expected to be white, but it is red.
  In (6,86), the ground is expected to be white, but it is red.
  In (6,87), the ground is expected to be white, but it is yellow.
  In (6,90), the ground is expected to be white, but it is red.
  In (6,94), the ground is expected to be white, but it is yellow.
  In (6,95), the ground is expected to be white, but it is yellow.
  In (6,96), the ground is expected to be white, but it is red.
  In (6,98), the ground is expected to be white, but it is red.
  In (7,2), the ground is expected to be white, but it is red.
  In (7,4), the ground is expected to be white, but it is yellow.
  In (7,5), the ground is expected to be white, but it is yellow.
  In (7,6), the ground is expected to be white, but it is red.
  In (7,8), the ground is expected to be white, but it is red.
  In (7,9), the ground is expected to be white, but it is yellow.
  In (7,10), the ground is expected to be white, but it is yellow.
  In (7,11), the ground is expected to be white, but it is red.
  In (7,12), the ground is expected to be white, but it is red.
  In (7,16), the ground is expected to be white, but it is red.
  In (7,18), the ground is expected to be white, but it is red.
  In (7,19), the ground is expected to be white, but it is yellow.
  In (7,20), the ground is expected to be white, but it is red.
  In (7,24), the ground is expected to be white, but it is red.
  In (7,26), the ground is expected to be white, but it is red.
  In (7,27), the ground is expected to be white, but it is red.
  In (7,28), the ground is expected to be white, but it is red.
  In (7,29), the ground is expected to be white, but it is yellow.
  In (7,30), the ground is expected to be white, but it is yellow.
  In (7,32), the ground is expected to be yellow, but it is white.
  In (7,33), the ground is expected to be white, but it is yellow.
  In (7,34), the ground is expected to be yellow, but it is white.
  In (7,35), the ground is expected to be white, but it is red.
  In (7,40), the ground is expected to be yellow, but it is white.
  In (7,41), the ground is expected to be yellow, but it is white.
  In (7,42), the ground is expected to be yellow, but it is white.
  In (7,43), the ground is expected to be white, but it is red.
  In (7,45), the ground is expected to be yellow, but it is white.
  In (7,47), the ground is expected to be white, but it is red.
  In (7,48), the ground is expected to be yellow, but it is white.
  In (7,49), the ground is expected to be yellow, but it is white.
  In (7,50), the ground is expected to be yellow, but it is red.
  In (7,51), the ground is expected to be yellow, but it is red.
  In (7,52), the ground is expected to be yellow, but it is red.
  In (7,55), the ground is expected to be white, but it is red.
