The amount of steps is wrong: 8342 is not 0
  In (20,27), the ground is expected to be white, but it is yellow.
  In (20,29), the ground is expected to be white, but it is yellow.
  In (20,32), the ground is expected to be yellow, but it is white.
  In (20,33), the ground is expected to be yellow, but it is white.
  In (20,34), the ground is expected to be yellow, but it is white.
  In (20,35), the ground is expected to be yellow, but it is white.
  In (20,36), the ground is expected to be yellow, but it is white.
  In (20,37), the ground is expected to be yellow, but it is white.
  In (20,39), the ground is expected to be yellow, but it is white.
  In (20,40), the ground is expected to be yellow, but it is white.
  In (20,42), the ground is expected to be yellow, but it is white.
  In (20,43), the ground is expected to be white, but it is yellow.
  In (20,44), the ground is expected to be white, but it is yellow.
  In (20,46), the ground is expected to be white, but it is yellow.
  In (20,49), the ground is expected to be white, but it is yellow.
  In (20,50), the ground is expected to be white, but it is yellow.
  In (20,51), the ground is expected to be white, but it is yellow.
  In (20,54), the ground is expected to be white, but it is yellow.
  In (20,55), the ground is expected to be white, but it is yellow.
  In (20,56), the ground is expected to be white, but it is yellow.
  In (20,58), the ground is expected to be white, but it is yellow.
  In (20,64), the ground is expected to be white, but it is yellow.
  In (20,65), the ground is expected to be white, but it is yellow.
  In (20,69), the ground is expected to be white, but it is yellow.
  In (21,14), the ground is expected to be yellow, but it is white.
  In (21,15), the ground is expected to be yellow, but it is white.
  In (21,16), the ground is expected to be yellow, but it is white.
  In (21,21), the ground is expected to be yellow, but it is white.
  In (21,22), the ground is expected to be yellow, but it is white.
  In (21,24), the ground is expected to be white, but it is yellow.
  In (21,25), the ground is expected to be yellow, but it is white.
  In (21,26), the ground is expected to be yellow, but it is white.
  In (21,31), the ground is expected to be white, but it is yellow.
  In (21,33), the ground is expected to be yellow, but it is white.
  In (21,35), the ground is expected to be yellow, but it is white.
  In (21,36), the ground is expected to be yellow, but it is white.
  In (21,37), the ground is expected to be yellow, but it is white.
  In (21,38), the ground is expected to be yellow, but it is white.
  In (21,40), the ground is expected to be yellow, but it is white.
  In (21,42), the ground is expected to be yellow, but it is white.
  In (21,46), the ground is expected to be yellow, but it is white.
  In (21,47), the ground is expected to be white, but it is yellow.
  In (21,48), the ground is expected to be white, but it is yellow.
  In (21,50), the ground is expected to be white, but it is yellow.
  In (21,51), the ground is expected to be white, but it is yellow.
  In (21,53), the ground is expected to be yellow, but it is white.
  In (21,54), the ground is expected to be yellow, but it is white.
  In (21,56), the ground is expected to be yellow, but it is white.
  In (21,59), the ground is expected to be yellow, but it is white.
  In (21,60), the ground is expected to be yellow, but it is white.
  In (21,61), the ground is expected to be white, but it is yellow.
  In (21,62), the ground is expected to be white, but it is yellow.
  In (21,63), the ground is expected to be white, but it is yellow.
  In (21,68), the ground is expected to be white, but it is yellow.
  In (21,69), the ground is expected to be white, but it is yellow.
  In (22,13), the ground is expected to be yellow, but it is white.
  In (22,14), the ground is expected to be yellow, but it is white.
  In (22,16), the ground is expected to be yellow, but it is white.
  In (22,17), the ground is expected to be yellow, but it is white.
  In (22,18), the ground is expected to be yellow, but it is white.
  In (22,21), the ground is expected to be yellow, but it is white.
  In (22,22), the ground is expected to be yellow, but it is white.
  In (22,23), the ground is expected to be yellow, but it is white.
  In (22,27), the ground is expected to be yellow, but it is white.
  In (22,28), the ground is expected to be white, but it is yellow.
  In (22,30), the ground is expected to be white, but it is yellow.
  In (22,31), the ground is expected to be white, but it is yellow.
  In (22,33), the ground is expected to be yellow, but it is white.
  In (22,35), the ground is expected to be yellow, but it is white.
  In (22,36), the ground is expected to be yellow, but it is white.
  In (22,42), the ground is expected to be yellow, but it is white.
  In (22,46), the ground is expected to be white, but it is yellow.
  In (22,47), the ground is expected to be yellow, but it is white.
  In (22,49), the ground is expected to be white, but it is yellow.
  In (22,53), the ground is expected to be white, but it is yellow.
  In (22,54), the ground is expected to be yellow, but it is white.
  In (22,55), the ground is expected to be yellow, but it is white.
