The amount of steps is wrong: 200000 is not 0
  In (9,23), the ground is expected to be white, but it is red.
  In (9,24), the ground is expected to be white, but it is green.
  In (9,25), the ground is expected to be white, but it is grey.
  In (9,26), the ground is expected to be white, but it is red.
  In (9,27), the ground is expected to be white, but it is cyan.
  In (9,28), the ground is expected to be white, but it is blue.
  In (9,30), the ground is expected to be white, but it is cyan.
  In (9,31), the ground is expected to be yellow, but it is green.
  In (9,32), the ground is expected to be yellow, but it is red.
  In (9,34), the ground is expected to be yellow, but it is blue.
  In (9,35), the ground is expected to be white, but it is black.
  In (9,36), the ground is expected to be white, but it is red.
  In (9,37), the ground is expected to be yellow, but it is orange.
  In (9,39), the ground is expected to be yellow, but it is grey.
  In (9,41), the ground is expected to be yellow, but it is black.
  In (9,42), the ground is expected to be white, but it is yellow.
  In (9,43), the ground is expected to be white, but it is orange.
  In (9,44), the ground is expected to be yellow, but it is orange.
  In (9,45), the ground is expected to be white, but it is red.
  In (9,48), the ground is expected to be white, but it is yellow.
  In (9,49), the ground is expected to be yellow, but it is white.
  In (9,50), the ground is expected to be yellow, but it is white.
  In (9,54), the ground is expected to be yellow, but it is white.
  In (9,56), the ground is expected to be yellow, but it is white.
  In (9,57), the ground is expected to be yellow, but it is white.
  In (9,58), the ground is expected to be yellow, but it is white.
  In (9,60), the ground is expected to be white, but it is red.
  In (9,61), the ground is expected to be white, but it is red.
  In (9,62), the ground is expected to be white, but it is cyan.
  In (9,64), the ground is expected to be white, but it is blue.
  In (9,66), the ground is expected to be white, but it is blue.
  In (9,67), the ground is expected to be white, but it is blue.
  In (9,68), the ground is expected to be white, but it is green.
  In (9,69), the ground is expected to be white, but it is blue.
  In (9,70), the ground is expected to be white, but it is blue.
  In (9,71), the ground is expected to be white, but it is orange.
  In (9,72), the ground is expected to be white, but it is cyan.
  In (9,73), the ground is expected to be white, but it is yellow.
  In (10,22), the ground is expected to be white, but it is yellow.
  In (10,23), the ground is expected to be white, but it is orange.
  In (10,24), the ground is expected to be white, but it is cyan.
  In (10,25), the ground is expected to be white, but it is magenta.
  In (10,27), the ground is expected to be white, but it is black.
  In (10,28), the ground is expected to be white, but it is blue.
  In (10,30), the ground is expected to be white, but it is blue.
  In (10,31), the ground is expected to be yellow, but it is cyan.
  In (10,32), the ground is expected to be white, but it is grey.
  In (10,33), the ground is expected to be white, but it is red.
  In (10,34), the ground is expected to be white, but it is black.
  In (10,35), the ground is expected to be white, but it is orange.
  In (10,36), the ground is expected to be yellow, but it is green.
  In (10,37), the ground is expected to be white, but it is black.
  In (10,38), the ground is expected to be white, but it is blue.
  In (10,39), the ground is expected to be white, but it is magenta.
  In (10,40), the ground is expected to be white, but it is grey.
  In (10,41), the ground is expected to be yellow, but it is red.
  In (10,42), the ground is expected to be white, but it is blue.
  In (10,43), the ground is expected to be white, but it is yellow.
  In (10,44), the ground is expected to be white, but it is grey.
  In (10,45), the ground is expected to be white, but it is green.
  In (10,46), the ground is expected to be white, but it is green.
  In (10,47), the ground is expected to be yellow, but it is cyan.
  In (10,48), the ground is expected to be yellow, but it is cyan.
  In (10,49), the ground is expected to be yellow, but it is green.
  In (10,50), the ground is expected to be white, but it is cyan.
  In (10,51), the ground is expected to be white, but it is red.
  In (10,56), the ground is expected to be yellow, but it is white.
  In (10,58), the ground is expected to be yellow, but it is white.
  In (10,62), the ground is expected to be white, but it is cyan.
  In (10,63), the ground is expected to be white, but it is grey.
  In (10,64), the ground is expected to be white, but it is cyan.
  In (10,65), the ground is expected to be white, but it is blue.
  In (10,66), the ground is expected to be white, but it is yellow.
  In (10,67), the ground is expected to be white, but it is blue.
  In (10,68), the ground is expected to be white, but it is cyan.
  In (10,69), the ground is expected to be white, but it is cyan.
  In (10,70), the ground is expected to be white, but it is cyan.
  In (10,71), the ground is expected to be white, but it is cyan.
  In (10,72), the ground is expected to be white, but it is orange.
  In (10,73), the ground is expected to be white, but it is red.
  In (11,19), the ground is expected to be white, but it is red.
  In (11,20), the ground is expected to be white, but it is cyan.
  In (11,21), the ground is expected to be white, but it is green.
  In (11,22), the ground is expected to be white, but it is grey.
  In (11,23), the ground is expected to be white, but it is red.
  In (11,24), the ground is expected to be white, but it is magenta.
  In (11,25), the ground is expected to be white, but it is cyan.
  In (11,26), the ground is expected to be white, but it is green.
  In (11,27), the ground is expected to be white, but it is yellow.
  In (11,28), the ground is expected to be white, but it is cyan.
  In (11,29), the ground is expected to be white, but it is magenta.
  In (11,31), the ground is expected to be yellow, but it is orange.
  In (11,32), the ground is expected to be yellow, but it is magenta.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is red.
  In (11,35), the ground is expected to be yellow, but it is blue.
  In (11,36), the ground is expected to be white, but it is magenta.
  In (11,37), the ground is expected to be white, but it is grey.
  In (11,38), the ground is expected to be white, but it is blue.
  In (11,41), the ground is expected to be yellow, but it is white.
  In (11,42), the ground is expected to be yellow, but it is green.
  In (11,43), the ground is expected to be yellow, but it is white.
  In (11,44), the ground is expected to be yellow, but it is blue.
  In (11,45), the ground is expected to be white, but it is orange.
  In (11,46), the ground is expected to be white, but it is orange.
  In (11,47), the ground is expected to be white, but it is orange.
  In (11,48), the ground is expected to be yellow, but it is orange.
  In (11,49), the ground is expected to be yellow, but it is grey.
  In (11,51), the ground is expected to be white, but it is blue.
  In (11,53), the ground is expected to be white, but it is red.
  In (11,54), the ground is expected to be yellow, but it is red.
  In (11,56), the ground is expected to be white, but it is yellow.
  In (11,57), the ground is expected to be yellow, but it is red.
  In (11,58), the ground is expected to be yellow, but it is red.
  In (11,61), the ground is expected to be white, but it is yellow.
  In (11,62), the ground is expected to be white, but it is green.
  In (11,63), the ground is expected to be white, but it is grey.
  In (11,65), the ground is expected to be white, but it is magenta.
  In (11,66), the ground is expected to be white, but it is blue.
  In (11,67), the ground is expected to be white, but it is red.
  In (11,68), the ground is expected to be white, but it is yellow.
  In (11,69), the ground is expected to be white, but it is yellow.
  In (11,70), the ground is expected to be white, but it is yellow.
  In (11,71), the ground is expected to be white, but it is yellow.
  In (11,72), the ground is expected to be white, but it is red.
  In (11,73), the ground is expected to be white, but it is red.
  In (12,19), the ground is expected to be white, but it is red.
  In (12,20), the ground is expected to be white, but it is black.
  In (12,21), the ground is expected to be white, but it is magenta.
  In (12,22), the ground is expected to be white, but it is black.
  In (12,23), the ground is expected to be white, but it is grey.
  In (12,24), the ground is expected to be white, but it is red.
  In (12,25), the ground is expected to be white, but it is blue.
  In (12,26), the ground is expected to be white, but it is cyan.
  In (12,28), the ground is expected to be white, but it is black.
  In (12,29), the ground is expected to be white, but it is orange.
  In (12,31), the ground is expected to be white, but it is yellow.
  In (12,33), the ground is expected to be white, but it is green.
  In (12,34), the ground is expected to be yellow, but it is green.
  In (12,35), the ground is expected to be yellow, but it is white.
  In (12,36), the ground is expected to be white, but it is green.
  In (12,37), the ground is expected to be yellow, but it is cyan.
  In (12,39), the ground is expected to be yellow, but it is green.
  In (12,40), the ground is expected to be white, but it is cyan.
  In (12,41), the ground is expected to be yellow, but it is cyan.
  In (12,43), the ground is expected to be white, but it is orange.
  In (12,44), the ground is expected to be yellow, but it is blue.
  In (12,45), the ground is expected to be yellow, but it is green.
  In (12,46), the ground is expected to be yellow, but it is green.
  In (12,47), the ground is expected to be yellow, but it is orange.
  In (12,48), the ground is expected to be white, but it is orange.
  In (12,49), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is grey.
  In (12,51), the ground is expected to be yellow, but it is cyan.
  In (12,52), the ground is expected to be yellow, but it is orange.
  In (12,53), the ground is expected to be yellow, but it is black.
  In (12,54), the ground is expected to be yellow, but it is black.
  In (12,55), the ground is expected to be yellow, but it is blue.
  In (12,56), the ground is expected to be white, but it is blue.
  In (12,57), the ground is expected to be yellow, but it is grey.
  In (12,58), the ground is expected to be yellow, but it is orange.
  In (12,61), the ground is expected to be white, but it is yellow.
  In (12,62), the ground is expected to be white, but it is green.
  In (12,63), the ground is expected to be white, but it is black.
  In (12,64), the ground is expected to be white, but it is green.
  In (12,65), the ground is expected to be white, but it is cyan.
  In (12,66), the ground is expected to be white, but it is orange.
  In (12,67), the ground is expected to be white, but it is red.
  In (13,19), the ground is expected to be white, but it is red.
  In (13,20), the ground is expected to be white, but it is black.
  In (13,21), the ground is expected to be white, but it is red.
  In (13,22), the ground is expected to be white, but it is magenta.
  In (13,23), the ground is expected to be white, but it is green.
  In (13,24), the ground is expected to be white, but it is blue.
  In (13,25), the ground is expected to be white, but it is orange.
  In (13,26), the ground is expected to be white, but it is grey.
  In (13,27), the ground is expected to be white, but it is cyan.
  In (13,29), the ground is expected to be white, but it is green.
  In (13,30), the ground is expected to be white, but it is black.
  In (13,31), the ground is expected to be white, but it is blue.
  In (13,32), the ground is expected to be white, but it is black.
  In (13,33), the ground is expected to be white, but it is yellow.
  In (13,34), the ground is expected to be yellow, but it is green.
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,36), the ground is expected to be white, but it is magenta.
  In (13,37), the ground is expected to be yellow, but it is red.
  In (13,38), the ground is expected to be white, but it is yellow.
  In (13,39), the ground is expected to be white, but it is blue.
  In (13,40), the ground is expected to be white, but it is red.
  In (13,41), the ground is expected to be yellow, but it is red.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,43), the ground is expected to be yellow, but it is grey.
  In (13,44), the ground is expected to be yellow, but it is black.
  In (13,45), the ground is expected to be yellow, but it is black.
  In (13,46), the ground is expected to be yellow, but it is grey.
  In (13,47), the ground is expected to be yellow, but it is blue.
  In (13,48), the ground is expected to be yellow, but it is orange.
  In (13,49), the ground is expected to be yellow, but it is white.
  In (13,50), the ground is expected to be white, but it is cyan.
  In (13,51), the ground is expected to be yellow, but it is red.
  In (13,52), the ground is expected to be white, but it is magenta.
  In (13,53), the ground is expected to be white, but it is black.
  In (13,56), the ground is expected to be white, but it is magenta.
  In (13,57), the ground is expected to be yellow, but it is black.
