The amount of steps is wrong: 15000 is not 0
  In (4,34), the ground is expected to be white, but it is cyan.
  In (4,35), the ground is expected to be white, but it is cyan.
  In (4,36), the ground is expected to be white, but it is orange.
  In (4,37), the ground is expected to be white, but it is red.
  In (4,39), the ground is expected to be white, but it is green.
  In (4,40), the ground is expected to be white, but it is black.
  In (4,41), the ground is expected to be white, but it is dark grey.
  In (4,42), the ground is expected to be white, but it is magenta.
  In (4,43), the ground is expected to be white, but it is magenta.
  In (4,46), the ground is expected to be white, but it is black.
  In (4,47), the ground is expected to be white, but it is cyan.
  In (4,48), the ground is expected to be white, but it is red.
  In (4,49), the ground is expected to be yellow, but it is red.
  In (4,50), the ground is expected to be yellow, but it is red.
  In (4,51), the ground is expected to be yellow, but it is red.
  In (4,52), the ground is expected to be white, but it is red.
  In (4,53), the ground is expected to be white, but it is cyan.
  In (4,54), the ground is expected to be white, but it is green.
  In (4,55), the ground is expected to be white, but it is black.
  In (4,56), the ground is expected to be white, but it is yellow.
  In (4,57), the ground is expected to be white, but it is yellow.
  In (4,58), the ground is expected to be white, but it is magenta.
  In (4,59), the ground is expected to be white, but it is orange.
  In (4,60), the ground is expected to be white, but it is red.
  In (4,61), the ground is expected to be white, but it is red.
  In (4,62), the ground is expected to be white, but it is red.
  In (4,63), the ground is expected to be white, but it is red.
  In (4,64), the ground is expected to be white, but it is yellow.
  In (5,4), the ground is expected to be white, but it is yellow.
  In (5,5), the ground is expected to be white, but it is red.
  In (5,6), the ground is expected to be white, but it is red.
  In (5,7), the ground is expected to be white, but it is red.
  In (5,8), the ground is expected to be white, but it is red.
  In (5,9), the ground is expected to be white, but it is red.
  In (5,10), the ground is expected to be white, but it is red.
  In (5,11), the ground is expected to be white, but it is red.
  In (5,12), the ground is expected to be white, but it is red.
  In (5,13), the ground is expected to be white, but it is red.
  In (5,14), the ground is expected to be white, but it is red.
  In (5,15), the ground is expected to be white, but it is red.
  In (5,16), the ground is expected to be white, but it is red.
  In (5,17), the ground is expected to be white, but it is red.
  In (5,18), the ground is expected to be white, but it is red.
  In (5,19), the ground is expected to be white, but it is red.
  In (5,20), the ground is expected to be white, but it is red.
  In (5,21), the ground is expected to be white, but it is red.
  In (5,22), the ground is expected to be white, but it is red.
  In (5,23), the ground is expected to be white, but it is red.
  In (5,24), the ground is expected to be white, but it is red.
  In (5,25), the ground is expected to be white, but it is red.
  In (5,26), the ground is expected to be white, but it is cyan.
  In (5,27), the ground is expected to be white, but it is black.
  In (5,28), the ground is expected to be white, but it is grey.
  In (5,29), the ground is expected to be white, but it is red.
  In (5,30), the ground is expected to be white, but it is green.
  In (5,31), the ground is expected to be yellow, but it is black.
  In (5,32), the ground is expected to be white, but it is grey.
  In (5,33), the ground is expected to be white, but it is dark grey.
  In (5,34), the ground is expected to be white, but it is blue.
  In (5,35), the ground is expected to be yellow, but it is blue.
  In (5,36), the ground is expected to be yellow, but it is dark grey.
  In (5,37), the ground is expected to be yellow, but it is green.
  In (5,38), the ground is expected to be yellow, but it is grey.
  In (5,39), the ground is expected to be white, but it is orange.
  In (5,40), the ground is expected to be white, but it is cyan.
  In (5,41), the ground is expected to be white, but it is cyan.
  In (5,42), the ground is expected to be white, but it is yellow.
  In (5,43), the ground is expected to be white, but it is magenta.
  In (5,44), the ground is expected to be white, but it is blue.
  In (5,45), the ground is expected to be white, but it is grey.
  In (5,46), the ground is expected to be white, but it is black.
  In (5,47), the ground is expected to be white, but it is cyan.
  In (5,48), the ground is expected to be white, but it is red.
  In (5,49), the ground is expected to be yellow, but it is red.
  In (5,50), the ground is expected to be yellow, but it is red.
  In (5,51), the ground is expected to be yellow, but it is red.
  In (5,52), the ground is expected to be white, but it is cyan.
  In (5,53), the ground is expected to be white, but it is green.
  In (5,54), the ground is expected to be white, but it is black.
  In (5,55), the ground is expected to be white, but it is yellow.
  In (5,56), the ground is expected to be white, but it is yellow.
  In (5,57), the ground is expected to be white, but it is magenta.
  In (5,58), the ground is expected to be white, but it is orange.
  In (5,59), the ground is expected to be white, but it is red.
  In (5,60), the ground is expected to be white, but it is red.
  In (5,61), the ground is expected to be white, but it is red.
  In (5,62), the ground is expected to be white, but it is red.
  In (5,63), the ground is expected to be white, but it is red.
  In (5,64), the ground is expected to be white, but it is yellow.
  In (6,4), the ground is expected to be white, but it is yellow.
  In (6,5), the ground is expected to be white, but it is red.
