The amount of steps is wrong: 8342 is not 0
  In (18,39), the ground is expected to be yellow, but it is white.
  In (18,40), the ground is expected to be yellow, but it is white.
  In (18,41), the ground is expected to be yellow, but it is white.
  In (18,42), the ground is expected to be yellow, but it is white.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (18,49), the ground is expected to be yellow, but it is white.
  In (18,55), the ground is expected to be yellow, but it is white.
  In (18,57), the ground is expected to be yellow, but it is white.
  In (18,60), the ground is expected to be yellow, but it is white.
  In (18,61), the ground is expected to be yellow, but it is white.
  In (19,22), the ground is expected to be yellow, but it is white.
  In (19,23), the ground is expected to be yellow, but it is white.
  In (19,24), the ground is expected to be yellow, but it is white.
  In (19,29), the ground is expected to be yellow, but it is white.
  In (19,30), the ground is expected to be yellow, but it is white.
  In (19,31), the ground is expected to be yellow, but it is white.
  In (19,32), the ground is expected to be yellow, but it is white.
  In (19,33), the ground is expected to be yellow, but it is white.
  In (19,35), the ground is expected to be yellow, but it is white.
  In (19,36), the ground is expected to be yellow, but it is white.
  In (19,39), the ground is expected to be yellow, but it is white.
  In (19,40), the ground is expected to be yellow, but it is white.
  In (19,41), the ground is expected to be yellow, but it is white.
  In (19,42), the ground is expected to be yellow, but it is white.
  In (19,43), the ground is expected to be yellow, but it is white.
  In (19,44), the ground is expected to be yellow, but it is white.
  In (19,45), the ground is expected to be yellow, but it is white.
  In (19,46), the ground is expected to be yellow, but it is white.
  In (19,47), the ground is expected to be yellow, but it is white.
  In (19,48), the ground is expected to be yellow, but it is white.
  In (19,55), the ground is expected to be yellow, but it is white.
  In (19,57), the ground is expected to be yellow, but it is white.
  In (19,60), the ground is expected to be yellow, but it is white.
  In (19,61), the ground is expected to be yellow, but it is white.
  In (20,22), the ground is expected to be yellow, but it is white.
  In (20,23), the ground is expected to be yellow, but it is white.
  In (20,24), the ground is expected to be yellow, but it is white.
  In (20,32), the ground is expected to be yellow, but it is white.
  In (20,33), the ground is expected to be yellow, but it is white.
  In (20,34), the ground is expected to be yellow, but it is white.
  In (20,35), the ground is expected to be yellow, but it is white.
  In (20,36), the ground is expected to be yellow, but it is white.
  In (20,37), the ground is expected to be yellow, but it is white.
  In (20,39), the ground is expected to be yellow, but it is white.
  In (20,40), the ground is expected to be yellow, but it is white.
  In (20,42), the ground is expected to be yellow, but it is white.
  In (20,45), the ground is expected to be yellow, but it is white.
  In (20,47), the ground is expected to be yellow, but it is white.
  In (20,48), the ground is expected to be yellow, but it is white.
  In (20,52), the ground is expected to be yellow, but it is white.
  In (20,53), the ground is expected to be yellow, but it is white.
  In (20,60), the ground is expected to be yellow, but it is white.
  In (21,14), the ground is expected to be yellow, but it is white.
  In (21,15), the ground is expected to be yellow, but it is white.
  In (21,16), the ground is expected to be yellow, but it is white.
  In (21,21), the ground is expected to be yellow, but it is white.
  In (21,22), the ground is expected to be yellow, but it is white.
  In (21,25), the ground is expected to be yellow, but it is white.
  In (21,26), the ground is expected to be yellow, but it is white.
  In (21,33), the ground is expected to be yellow, but it is white.
  In (21,35), the ground is expected to be yellow, but it is white.
  In (21,36), the ground is expected to be yellow, but it is white.
  In (21,37), the ground is expected to be yellow, but it is white.
  In (21,38), the ground is expected to be yellow, but it is white.
  In (21,40), the ground is expected to be yellow, but it is white.
  In (21,42), the ground is expected to be yellow, but it is white.
  In (21,44), the ground is expected to be yellow, but it is white.
  In (21,45), the ground is expected to be yellow, but it is white.
  In (21,46), the ground is expected to be yellow, but it is white.
  In (21,52), the ground is expected to be yellow, but it is white.
  In (21,53), the ground is expected to be yellow, but it is white.
  In (21,54), the ground is expected to be yellow, but it is white.
  In (21,56), the ground is expected to be yellow, but it is white.
  In (21,58), the ground is expected to be yellow, but it is white.
  In (21,59), the ground is expected to be yellow, but it is white.
  In (21,60), the ground is expected to be yellow, but it is white.
  In (22,13), the ground is expected to be yellow, but it is white.
  In (22,14), the ground is expected to be yellow, but it is white.
  In (22,16), the ground is expected to be yellow, but it is white.
  In (22,17), the ground is expected to be yellow, but it is white.
  In (22,18), the ground is expected to be yellow, but it is white.
  In (22,21), the ground is expected to be yellow, but it is white.
  In (22,22), the ground is expected to be yellow, but it is white.
  In (22,23), the ground is expected to be yellow, but it is white.
  In (22,24), the ground is expected to be yellow, but it is white.
  In (22,25), the ground is expected to be yellow, but it is white.
  In (22,26), the ground is expected to be yellow, but it is white.
  In (22,27), the ground is expected to be yellow, but it is white.
  In (22,33), the ground is expected to be yellow, but it is white.
  In (22,35), the ground is expected to be yellow, but it is white.
  In (22,36), the ground is expected to be yellow, but it is white.
  In (22,42), the ground is expected to be yellow, but it is white.
  In (22,43), the ground is expected to be yellow, but it is white.
  In (22,44), the ground is expected to be yellow, but it is white.
  In (22,47), the ground is expected to be yellow, but it is white.
  In (22,48), the ground is expected to be yellow, but it is white.
  In (22,50), the ground is expected to be yellow, but it is white.
  In (22,54), the ground is expected to be yellow, but it is white.
  In (22,55), the ground is expected to be yellow, but it is white.
  In (22,57), the ground is expected to be yellow, but it is white.
  In (22,58), the ground is expected to be yellow, but it is white.
  In (22,60), the ground is expected to be yellow, but it is white.
  In (22,61), the ground is expected to be yellow, but it is white.
  In (22,62), the ground is expected to be yellow, but it is white.
  In (23,12), the ground is expected to be yellow, but it is white.
  In (23,13), the ground is expected to be yellow, but it is white.
  In (23,15), the ground is expected to be yellow, but it is white.
  In (23,17), the ground is expected to be yellow, but it is white.
  In (23,18), the ground is expected to be yellow, but it is white.
  In (23,19), the ground is expected to be yellow, but it is white.
  In (23,20), the ground is expected to be yellow, but it is white.
  In (23,21), the ground is expected to be yellow, but it is white.
  In (23,22), the ground is expected to be yellow, but it is white.
  In (23,23), the ground is expected to be yellow, but it is white.
  In (23,25), the ground is expected to be yellow, but it is white.
  In (23,27), the ground is expected to be yellow, but it is white.
  In (23,28), the ground is expected to be yellow, but it is white.
  In (23,33), the ground is expected to be yellow, but it is white.
  In (23,34), the ground is expected to be yellow, but it is white.
  In (23,35), the ground is expected to be yellow, but it is white.
  In (23,40), the ground is expected to be yellow, but it is white.
  In (23,44), the ground is expected to be yellow, but it is white.
  In (23,45), the ground is expected to be yellow, but it is white.
  In (23,46), the ground is expected to be yellow, but it is white.
  In (23,47), the ground is expected to be yellow, but it is white.
  In (23,48), the ground is expected to be yellow, but it is white.
  In (23,50), the ground is expected to be yellow, but it is white.
  In (23,51), the ground is expected to be yellow, but it is white.
  In (23,52), the ground is expected to be yellow, but it is white.
  In (23,53), the ground is expected to be yellow, but it is white.
  In (23,54), the ground is expected to be yellow, but it is white.
  In (23,55), the ground is expected to be yellow, but it is white.
  In (23,56), the ground is expected to be yellow, but it is white.
  In (23,57), the ground is expected to be yellow, but it is white.
  In (23,58), the ground is expected to be yellow, but it is white.
  In (23,59), the ground is expected to be yellow, but it is white.
  In (23,60), the ground is expected to be yellow, but it is white.
  In (23,61), the ground is expected to be yellow, but it is white.
  In (23,62), the ground is expected to be yellow, but it is white.
  In (23,63), the ground is expected to be yellow, but it is white.
  In (23,64), the ground is expected to be yellow, but it is white.
  In (23,65), the ground is expected to be yellow, but it is white.
  In (24,11), the ground is expected to be yellow, but it is white.
  In (24,12), the ground is expected to be yellow, but it is white.
  In (24,14), the ground is expected to be yellow, but it is white.
  In (24,15), the ground is expected to be yellow, but it is white.
  In (24,20), the ground is expected to be yellow, but it is white.
  In (24,22), the ground is expected to be yellow, but it is white.
  In (24,23), the ground is expected to be yellow, but it is white.
  In (24,27), the ground is expected to be yellow, but it is white.
  In (24,36), the ground is expected to be yellow, but it is white.
  In (24,39), the ground is expected to be yellow, but it is white.
  In (24,40), the ground is expected to be yellow, but it is white.
  In (24,42), the ground is expected to be yellow, but it is white.
  In (24,43), the ground is expected to be yellow, but it is white.
  In (24,46), the ground is expected to be yellow, but it is white.
  In (24,47), the ground is expected to be yellow, but it is white.
  In (24,52), the ground is expected to be yellow, but it is white.
  In (24,56), the ground is expected to be yellow, but it is white.
  In (24,57), the ground is expected to be yellow, but it is white.
  In (24,59), the ground is expected to be yellow, but it is white.
  In (24,60), the ground is expected to be yellow, but it is white.
  In (24,61), the ground is expected to be yellow, but it is white.
  In (24,63), the ground is expected to be yellow, but it is white.
  In (24,64), the ground is expected to be yellow, but it is white.
  In (25,8), the ground is expected to be yellow, but it is white.
  In (25,9), the ground is expected to be yellow, but it is white.
  In (25,10), the ground is expected to be yellow, but it is white.
  In (25,11), the ground is expected to be yellow, but it is white.
  In (25,13), the ground is expected to be yellow, but it is white.
  In (25,14), the ground is expected to be yellow, but it is white.
  In (25,20), the ground is expected to be yellow, but it is white.
  In (25,21), the ground is expected to be yellow, but it is white.
  In (25,22), the ground is expected to be yellow, but it is white.
  In (25,31), the ground is expected to be yellow, but it is white.
  In (25,32), the ground is expected to be yellow, but it is white.
  In (25,33), the ground is expected to be yellow, but it is white.
  In (25,36), the ground is expected to be yellow, but it is white.
  In (25,37), the ground is expected to be yellow, but it is white.
  In (25,38), the ground is expected to be yellow, but it is white.
  In (25,39), the ground is expected to be yellow, but it is white.
