The amount of steps is wrong: 42000 is not 0
  In (10,89), the ground is expected to be white, but it is yellow.
  In (10,90), the ground is expected to be white, but it is yellow.
  In (10,91), the ground is expected to be white, but it is yellow.
  In (10,92), the ground is expected to be white, but it is yellow.
  In (10,94), the ground is expected to be white, but it is yellow.
  In (10,95), the ground is expected to be white, but it is yellow.
  In (10,96), the ground is expected to be white, but it is yellow.
  In (10,97), the ground is expected to be white, but it is yellow.
  In (10,99), the ground is expected to be white, but it is yellow.
  In (11,1), the ground is expected to be white, but it is yellow.
  In (11,2), the ground is expected to be white, but it is yellow.
  In (11,31), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be yellow, but it is white.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is white.
  In (11,35), the ground is expected to be yellow, but it is white.
  In (11,39), the ground is expected to be yellow, but it is white.
  In (11,41), the ground is expected to be yellow, but it is white.
  In (11,42), the ground is expected to be yellow, but it is white.
  In (11,43), the ground is expected to be yellow, but it is white.
  In (11,44), the ground is expected to be yellow, but it is white.
  In (11,48), the ground is expected to be yellow, but it is white.
  In (11,49), the ground is expected to be yellow, but it is white.
  In (11,50), the ground is expected to be yellow, but it is white.
  In (11,52), the ground is expected to be yellow, but it is white.
  In (11,53), the ground is expected to be white, but it is yellow.
  In (11,54), the ground is expected to be yellow, but it is white.
  In (11,60), the ground is expected to be white, but it is yellow.
  In (11,61), the ground is expected to be white, but it is yellow.
  In (11,63), the ground is expected to be white, but it is yellow.
  In (11,68), the ground is expected to be white, but it is yellow.
  In (11,69), the ground is expected to be white, but it is yellow.
  In (11,73), the ground is expected to be white, but it is yellow.
  In (11,74), the ground is expected to be white, but it is yellow.
  In (11,78), the ground is expected to be white, but it is yellow.
  In (11,79), the ground is expected to be white, but it is yellow.
  In (11,80), the ground is expected to be white, but it is yellow.
  In (11,82), the ground is expected to be white, but it is yellow.
  In (11,84), the ground is expected to be white, but it is yellow.
  In (11,89), the ground is expected to be white, but it is yellow.
  In (11,91), the ground is expected to be white, but it is yellow.
  In (11,97), the ground is expected to be white, but it is yellow.
  In (11,98), the ground is expected to be white, but it is yellow.
  In (12,1), the ground is expected to be white, but it is yellow.
  In (12,3), the ground is expected to be white, but it is yellow.
  In (12,34), the ground is expected to be yellow, but it is white.
  In (12,35), the ground is expected to be yellow, but it is white.
  In (12,37), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,39), the ground is expected to be yellow, but it is white.
  In (12,41), the ground is expected to be yellow, but it is white.
  In (12,44), the ground is expected to be yellow, but it is white.
  In (12,45), the ground is expected to be yellow, but it is white.
  In (12,46), the ground is expected to be yellow, but it is white.
  In (12,47), the ground is expected to be yellow, but it is white.
  In (12,49), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is white.
  In (12,51), the ground is expected to be yellow, but it is white.
  In (12,53), the ground is expected to be yellow, but it is white.
  In (12,54), the ground is expected to be yellow, but it is white.
  In (12,55), the ground is expected to be yellow, but it is white.
  In (12,56), the ground is expected to be white, but it is yellow.
  In (12,57), the ground is expected to be yellow, but it is white.
  In (12,59), the ground is expected to be yellow, but it is white.
  In (12,60), the ground is expected to be white, but it is yellow.
  In (12,61), the ground is expected to be white, but it is yellow.
  In (12,63), the ground is expected to be white, but it is yellow.
  In (12,64), the ground is expected to be white, but it is yellow.
  In (12,65), the ground is expected to be white, but it is yellow.
  In (12,67), the ground is expected to be white, but it is yellow.
  In (12,69), the ground is expected to be white, but it is yellow.
  In (12,70), the ground is expected to be white, but it is yellow.
  In (12,72), the ground is expected to be white, but it is yellow.
  In (12,73), the ground is expected to be white, but it is yellow.
  In (12,77), the ground is expected to be white, but it is yellow.
  In (12,79), the ground is expected to be white, but it is yellow.
  In (12,80), the ground is expected to be white, but it is yellow.
  In (12,81), the ground is expected to be white, but it is yellow.
  In (12,82), the ground is expected to be white, but it is yellow.
  In (12,84), the ground is expected to be white, but it is yellow.
  In (12,85), the ground is expected to be white, but it is yellow.
  In (12,89), the ground is expected to be white, but it is yellow.
  In (12,90), the ground is expected to be white, but it is yellow.
  In (12,91), the ground is expected to be white, but it is yellow.
  In (12,96), the ground is expected to be white, but it is yellow.
  In (12,97), the ground is expected to be white, but it is yellow.
  In (12,98), the ground is expected to be white, but it is yellow.
  In (13,0), the ground is expected to be white, but it is yellow.
  In (13,3), the ground is expected to be white, but it is yellow.
  In (13,4), the ground is expected to be white, but it is yellow.
  In (13,34), the ground is expected to be yellow, but it is white.
