The amount of steps is wrong: 98000 is not 0
  In (9,40), the ground is expected to be white, but it is red.
  In (9,41), the ground is expected to be yellow, but it is orange.
  In (9,43), the ground is expected to be white, but it is cyan.
  In (9,44), the ground is expected to be yellow, but it is cyan.
  In (9,45), the ground is expected to be white, but it is red.
  In (9,46), the ground is expected to be white, but it is green.
  In (9,47), the ground is expected to be yellow, but it is cyan.
  In (9,48), the ground is expected to be white, but it is yellow.
  In (9,49), the ground is expected to be yellow, but it is cyan.
  In (9,50), the ground is expected to be yellow, but it is cyan.
  In (9,51), the ground is expected to be white, but it is cyan.
  In (9,52), the ground is expected to be white, but it is orange.
  In (9,53), the ground is expected to be white, but it is green.
  In (9,54), the ground is expected to be yellow, but it is orange.
  In (9,56), the ground is expected to be yellow, but it is cyan.
  In (9,57), the ground is expected to be yellow, but it is orange.
  In (9,58), the ground is expected to be yellow, but it is red.
  In (9,59), the ground is expected to be white, but it is red.
  In (9,60), the ground is expected to be white, but it is orange.
  In (9,61), the ground is expected to be white, but it is red.
  In (9,70), the ground is expected to be white, but it is yellow.
  In (9,71), the ground is expected to be white, but it is yellow.
  In (10,31), the ground is expected to be yellow, but it is white.
  In (10,36), the ground is expected to be yellow, but it is white.
  In (10,39), the ground is expected to be white, but it is yellow.
  In (10,40), the ground is expected to be white, but it is green.
  In (10,42), the ground is expected to be white, but it is orange.
  In (10,43), the ground is expected to be white, but it is red.
  In (10,44), the ground is expected to be white, but it is cyan.
  In (10,45), the ground is expected to be white, but it is yellow.
  In (10,48), the ground is expected to be yellow, but it is cyan.
  In (10,49), the ground is expected to be yellow, but it is red.
  In (10,50), the ground is expected to be white, but it is red.
  In (10,51), the ground is expected to be white, but it is orange.
  In (10,52), the ground is expected to be white, but it is green.
  In (10,53), the ground is expected to be white, but it is orange.
  In (10,54), the ground is expected to be white, but it is green.
  In (10,55), the ground is expected to be white, but it is cyan.
  In (10,58), the ground is expected to be yellow, but it is green.
  In (10,59), the ground is expected to be white, but it is orange.
  In (10,60), the ground is expected to be white, but it is green.
  In (10,61), the ground is expected to be white, but it is red.
  In (10,74), the ground is expected to be white, but it is yellow.
  In (10,75), the ground is expected to be white, but it is yellow.
  In (11,31), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be yellow, but it is white.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is white.
  In (11,35), the ground is expected to be yellow, but it is white.
  In (11,37), the ground is expected to be white, but it is yellow.
  In (11,38), the ground is expected to be white, but it is red.
  In (11,39), the ground is expected to be yellow, but it is cyan.
  In (11,41), the ground is expected to be yellow, but it is red.
  In (11,42), the ground is expected to be yellow, but it is orange.
  In (11,43), the ground is expected to be yellow, but it is cyan.
  In (11,44), the ground is expected to be yellow, but it is green.
  In (11,45), the ground is expected to be white, but it is yellow.
  In (11,46), the ground is expected to be white, but it is cyan.
  In (11,47), the ground is expected to be white, but it is red.
  In (11,48), the ground is expected to be yellow, but it is white.
  In (11,50), the ground is expected to be yellow, but it is red.
  In (11,51), the ground is expected to be white, but it is orange.
  In (11,52), the ground is expected to be yellow, but it is red.
  In (11,53), the ground is expected to be white, but it is orange.
  In (11,54), the ground is expected to be yellow, but it is green.
  In (11,55), the ground is expected to be yellow, but it is red.
  In (11,57), the ground is expected to be yellow, but it is white.
  In (11,58), the ground is expected to be yellow, but it is orange.
  In (11,59), the ground is expected to be white, but it is green.
  In (11,60), the ground is expected to be white, but it is green.
  In (11,61), the ground is expected to be white, but it is cyan.
  In (11,62), the ground is expected to be white, but it is yellow.
  In (11,63), the ground is expected to be white, but it is yellow.
  In (11,64), the ground is expected to be white, but it is yellow.
  In (11,65), the ground is expected to be white, but it is yellow.
  In (11,66), the ground is expected to be white, but it is yellow.
  In (11,71), the ground is expected to be white, but it is yellow.
  In (11,72), the ground is expected to be white, but it is red.
  In (11,73), the ground is expected to be white, but it is red.
  In (11,74), the ground is expected to be white, but it is cyan.
  In (11,75), the ground is expected to be white, but it is cyan.
  In (11,76), the ground is expected to be white, but it is yellow.
  In (12,34), the ground is expected to be yellow, but it is white.
  In (12,35), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is green.
  In (12,39), the ground is expected to be yellow, but it is white.
  In (12,40), the ground is expected to be white, but it is cyan.
  In (12,41), the ground is expected to be yellow, but it is green.
  In (12,43), the ground is expected to be white, but it is green.
  In (12,44), the ground is expected to be yellow, but it is green.
  In (12,45), the ground is expected to be yellow, but it is red.
  In (12,47), the ground is expected to be yellow, but it is white.
  In (12,48), the ground is expected to be white, but it is green.
  In (12,49), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is cyan.
  In (12,51), the ground is expected to be yellow, but it is cyan.
  In (12,53), the ground is expected to be yellow, but it is orange.
  In (12,54), the ground is expected to be yellow, but it is green.
  In (12,55), the ground is expected to be yellow, but it is orange.
  In (12,56), the ground is expected to be white, but it is cyan.
  In (12,57), the ground is expected to be yellow, but it is white.
  In (12,59), the ground is expected to be yellow, but it is orange.
  In (12,60), the ground is expected to be white, but it is orange.
  In (12,62), the ground is expected to be white, but it is green.
  In (12,63), the ground is expected to be white, but it is green.
  In (12,64), the ground is expected to be white, but it is cyan.
  In (12,65), the ground is expected to be white, but it is cyan.
  In (12,66), the ground is expected to be white, but it is red.
  In (12,71), the ground is expected to be white, but it is yellow.
  In (12,72), the ground is expected to be white, but it is cyan.
  In (12,73), the ground is expected to be white, but it is cyan.
  In (12,74), the ground is expected to be white, but it is green.
  In (12,75), the ground is expected to be white, but it is orange.
  In (12,76), the ground is expected to be white, but it is cyan.
  In (12,77), the ground is expected to be white, but it is yellow.
  In (13,34), the ground is expected to be yellow, but it is white.
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,38), the ground is expected to be white, but it is red.
  In (13,40), the ground is expected to be white, but it is cyan.
  In (13,41), the ground is expected to be yellow, but it is green.
  In (13,42), the ground is expected to be yellow, but it is cyan.
  In (13,43), the ground is expected to be yellow, but it is orange.
  In (13,44), the ground is expected to be yellow, but it is green.
  In (13,45), the ground is expected to be yellow, but it is red.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,48), the ground is expected to be yellow, but it is green.
  In (13,49), the ground is expected to be yellow, but it is orange.
  In (13,50), the ground is expected to be white, but it is yellow.
  In (13,53), the ground is expected to be white, but it is orange.
  In (13,54), the ground is expected to be white, but it is red.
  In (13,55), the ground is expected to be yellow, but it is orange.
  In (13,56), the ground is expected to be white, but it is cyan.
  In (13,57), the ground is expected to be yellow, but it is white.
  In (13,58), the ground is expected to be white, but it is red.
  In (13,59), the ground is expected to be yellow, but it is red.
  In (13,60), the ground is expected to be yellow, but it is green.
  In (13,61), the ground is expected to be white, but it is cyan.
  In (13,62), the ground is expected to be white, but it is yellow.
  In (13,64), the ground is expected to be white, but it is green.
  In (13,65), the ground is expected to be white, but it is cyan.
  In (13,66), the ground is expected to be white, but it is red.
  In (13,69), the ground is expected to be white, but it is yellow.
  In (13,70), the ground is expected to be white, but it is red.
  In (13,71), the ground is expected to be white, but it is cyan.
  In (13,72), the ground is expected to be white, but it is green.
  In (13,73), the ground is expected to be white, but it is cyan.
  In (13,74), the ground is expected to be white, but it is red.
  In (13,76), the ground is expected to be white, but it is yellow.
  In (13,77), the ground is expected to be white, but it is red.
  In (14,33), the ground is expected to be yellow, but it is white.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,38), the ground is expected to be white, but it is red.
  In (14,39), the ground is expected to be yellow, but it is white.
  In (14,40), the ground is expected to be white, but it is cyan.
  In (14,41), the ground is expected to be yellow, but it is orange.
  In (14,44), the ground is expected to be yellow, but it is red.
  In (14,45), the ground is expected to be yellow, but it is orange.
  In (14,46), the ground is expected to be white, but it is cyan.
  In (14,48), the ground is expected to be yellow, but it is green.
  In (14,49), the ground is expected to be yellow, but it is green.
  In (14,50), the ground is expected to be white, but it is cyan.
  In (14,52), the ground is expected to be white, but it is yellow.
  In (14,54), the ground is expected to be yellow, but it is green.
  In (14,55), the ground is expected to be yellow, but it is orange.
  In (14,56), the ground is expected to be white, but it is green.
